fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,total_acidity,sugar_acidity_ratio,sulfur_ratio,alcohol_sugar_interaction,quality_class
7.4,0.7,0.0,1.0647107369924282,0.07325046173959267,2.4849066497880004,3.5553480614894135,0.9978,3.51,0.44468582126144574,2.341805806147327,5,8.1,0.22853439994908617,0.3235294117647059,2.937043277205311,1
7.8,0.88,0.0,1.2809338454620642,0.09349034308733889,3.258096538021482,4.219507705176107,0.9968,3.2,0.5187937934151676,2.379546134130174,5,8.68,0.28768207245178096,0.373134328358209,3.2763897310688077,1
7.8,0.76,0.04,1.1939224684724346,0.0880108773227133,2.772588722239781,4.007333185232471,0.997,3.26,0.5007752879124893,2.379546134130174,5,8.56,0.2584116901516677,0.2777777777777778,3.1587011018321305,1
11.2,0.28,0.56,1.0647107369924282,0.07232066157962612,2.8903717578961645,4.110873864173311,0.998,3.16,0.4574248470388754,2.379546134130174,6,11.479999999999999,0.156698451906057,0.2833333333333333,2.976549454137217,1
7.4,0.66,0.0,1.0296194171811583,0.07232066157962612,2.6390573296152584,3.713572066704308,0.9978,3.51,0.44468582126144574,2.341805806147327,5,8.06,0.21772348384487056,0.325,2.8859174075467844,1
7.9,0.6,0.06,0.9555114450274363,0.06672363204290818,2.772588722239781,4.0943445622221,0.9964,3.3,0.3784364357202451,2.341805806147327,5,8.5,0.18442903913351935,0.2542372881355932,2.7750856024383683,1
7.3,0.65,0.0,0.8754687373538999,0.06297479916138844,2.772588722239781,3.091042453358316,0.9946,3.39,0.3852624007906449,2.3978952727983707,7,7.95,0.15219181534192533,0.7142857142857143,2.5649493574615367,2
7.8,0.58,0.02,1.0986122886681098,0.07045846364856141,2.302585092994046,2.9444389791664403,0.9968,3.36,0.4510756193602167,2.3513752571634776,7,8.379999999999999,0.22825865198098022,0.5,2.995732273553991,2
7.5,0.5,0.36,1.9600947840472698,0.06859279146561172,2.8903717578961645,4.634728988229636,0.9978,3.35,0.5877866649021191,2.4423470353692043,5,8.0,0.39604873584807543,0.16666666666666666,3.7400477406883357,1
6.7,0.58,0.08,1.0296194171811583,0.0925791812930931,2.772588722239781,4.189654742026425,0.9959,3.28,0.43178241642553783,2.322387720290225,5,7.28,0.2379586370993504,0.23076923076923078,2.8656235882069705,1
5.6,0.615,0.0,0.9555114450274363,0.08525984395082342,2.833213344056216,4.0943445622221,0.9943,3.58,0.41871033485818504,2.388762789235098,5,6.215,0.2513144282809061,0.2711864406779661,2.8237570088141806,1
7.8,0.61,0.29,0.9555114450274363,0.10795714150509228,2.302585092994046,3.4011973816621555,0.9974,3.26,0.8241754429663494,2.312535423847214,5,8.41,0.1865859555804122,0.3103448275862069,2.7447035187502458,1
8.9,0.62,0.18,1.5686159179138452,0.16211884947643518,3.7612001156935624,4.832305758571839,0.9986,3.16,0.6312717768418579,2.322387720290225,5,9.52,0.35555071672645144,0.3586206896551724,3.5824072096034194,1
8.9,0.62,0.19,1.589235205116581,0.15700374880966475,3.7612001156935624,4.832305758571839,0.9986,3.17,0.6575200029167942,2.322387720290225,5,9.52,0.3633938941874773,0.34459459459459457,3.607669398688393,1
8.5,0.28,0.56,1.0296194171811583,0.0880108773227133,3.58351893845611,4.6443908991413725,0.9969,3.3,0.5596157879354227,2.4423470353692043,7,8.78,0.1920777317393193,0.33980582524271846,2.990719731730447,2
8.1,0.56,0.28,0.9932517730102833,0.3133498192003587,2.833213344056216,4.04305126783455,0.9968,3.11,0.8241754429663494,2.33214389523559,5,8.66,0.19051832399813318,0.2857142857142857,2.821973947420524,1
7.4,0.59,0.08,1.6863989535702288,0.08250122151174369,1.9459101490553132,3.4011973816621555,0.9974,3.38,0.4054651081081644,2.302585092994046,4,7.99,0.39604873584807543,0.20689655172413793,3.703768066607687,0
